Symbol,Name,Sector
603993,洛阳钼业,有色金属
603986,兆易创新,电子设备
603899,晨光文具,轻工制造
603833,欧派家居,轻工制造
603799,华友钴业,有色金属
603658,安图生物,医药生物
603501,韦尔股份,电子设备
603369,今世缘,食品饮料
603288,海天味业,食品饮料
603260,合盛硅业,有色金属
603259,药明康德,医药生物
603160,汇顶科技,电子设备
603156,养元饮品,食品饮料
603019,中科曙光,信息技术
601998,中信银行,金融
601997,贵阳银行,金融
601992,金隅集团,建材
601989,中国重工,国防与装备
601988,中国银行,金融
601985,中国核电,公用事业
601939,建设银行,金融
601933,永辉超市,商贸零售
601919,中远海控,交通运输
601916,浙商银行,金融
601901,方正证券,金融
601899,紫金矿业,有色金属
601898,中煤能源,化石能源
601888,中国中免,商贸零售
601881,中国银河,金融
601878,浙商证券,金融
601877,正泰电器,电气设备
601857,中国石油,化石能源
601838,成都银行,金融
601828,美凯龙,商贸零售
601818,光大银行,金融
601816,京沪高铁,交通运输
601808,中海油服,化石能源
601800,中国交建,建筑
601788,光大证券,金融
601766,中国中车,交运设备
601727,上海电气,电气设备
601698,中国卫通,信息技术
601688,华泰证券,金融
601669,中国电建,建筑
601668,中国建筑,建筑
601658,邮储银行,金融
601633,长城汽车,交运设备
601628,中国人寿,金融
601618,中国中冶,建筑
601607,上海医药,医药生物
601601,中国太保,金融
601600,中国铝业,有色金属
601577,长沙银行,金融
601555,东吴证券,金融
601398,工商银行,金融
601390,中国中铁,建筑
601377,兴业证券,金融
601360,三六零,信息技术
601336,新华保险,金融
601328,交通银行,金融
601319,中国人保,金融
601318,中国平安,金融
601298,青岛港,交通运输
601288,农业银行,金融
601238,广汽集团,交运设备
601236,红塔证券,金融
601231,环旭电子,电子设备
601229,上海银行,金融
601225,陕西煤业,化石能源
601216,君正集团,基础化工
601212,白银有色,有色金属
601211,国泰君安,金融
601198,东兴证券,金融
601186,中国铁建,建筑
601169,北京银行,金融
601166,兴业银行,金融
601162,天风证券,金融
601155,新城控股,房地产
601138,工业富联,信息技术
601117,中国化学,建筑
601111,中国国航,交通运输
601108,财通证券,金融
601100,恒立液压,机械设备
601088,中国神华,化石能源
601077,渝农商行,金融
601066,中信建投,金融
601021,春秋航空,交通运输
601018,宁波港,交通运输
601012,隆基股份,电气设备
601009,南京银行,金融
601006,大秦铁路,交通运输
600999,招商证券,金融
600998,九州通,医药生物
600989,宝丰能源,化石能源
600977,中国电影,文化传媒
600968,海油发展,化石能源
600958,东方证券,金融
600928,西安银行,金融
600926,杭州银行,金融
600919,江苏银行,金融
600900,长江电力,公用事业
600893,航发动力,国防与装备
600887,伊利股份,食品饮料
600886,国投电力,公用事业
600867,通化东宝,医药生物
600848,上海临港,房地产
600837,海通证券,金融
600809,山西汾酒,食品饮料
600795,国电电力,公用事业
600760,中航沈飞,国防与装备
600745,闻泰科技,电子设备
600741,华域汽车,交运设备
600705,中航资本,金融
600703,三安光电,电子设备
600690,海尔智家,家电
600674,川投能源,公用事业
600660,福耀玻璃,交运设备
600655,豫园股份,商贸零售
600637,东方明珠,文化传媒
600606,绿地控股,房地产
600588,用友网络,信息技术
600585,海螺水泥,建材
600583,海油工程,化石能源
600570,恒生电子,信息技术
600547,山东黄金,有色金属
600522,中天科技,信息技术
600519,贵州茅台,食品饮料
600516,方大炭素,有色金属
600498,烽火通信,信息技术
600489,中金黄金,有色金属
600487,亨通光电,信息技术
600482,中国动力,国防与装备
600438,通威股份,农林牧渔
600436,片仔癀,医药生物
600406,国电南瑞,电气设备
600398,海澜之家,纺织服装
600390,五矿资本,金融
600383,金地集团,房地产
600372,中航电子,国防与装备
600369,西南证券,金融
600362,江西铜业,有色金属
600352,浙江龙盛,基础化工
600346,恒力石化,基础化工
600340,华夏幸福,房地产
600332,白云山,医药生物
600309,万华化学,基础化工
600299,安迪苏,基础化工
600297,广汇汽车,交运设备
600276,恒瑞医药,医药生物
600271,航天信息,信息技术
600233,圆通速递,交通运输
600221,海航控股,交通运输
600219,南山铝业,有色金属
600208,新湖中宝,房地产
600196,复星医药,医药生物
600188,兖州煤业,化石能源
600183,生益科技,电子设备
600177,雅戈尔,纺织服装
600176,中国巨石,基础化工
600170,上海建工,建筑
600118,中国卫星,信息技术
600115,东方航空,交通运输
600111,北方稀土,有色金属
600109,国金证券,金融
600104,上汽集团,交运设备
600089,特变电工,电气设备
600085,同仁堂,医药生物
600068,葛洲坝,建筑
600066,宇通客车,交运设备
600061,国投资本,金融
600050,中国联通,信息技术
600048,保利地产,房地产
600038,中直股份,国防与装备
600036,招商银行,金融
600031,三一重工,机械设备
600030,中信证券,金融
600029,南方航空,交通运输
600028,中国石化,化石能源
600027,华电国际,公用事业
600025,华能水电,公用事业
600019,宝钢股份,钢铁
