Symbol,Name,Sector
5,汇丰控股,FIN
11,恒生银行,FIN
388,香港交易所,FIN
939,建设银行,FIN
1299,友邦保险,FIN
1398,工商银行,FIN
2318,中国平安,FIN
2388,中银香港,FIN
2628,中国人寿,FIN
3328,交通银行,FIN
3988,中国银行,FIN
2,中电控股,UTL
3,香港中华煤气,UTL
6,电能实业,UTL
1038,长江基建集团,UTL
12,恒基地产,REL
16,新鸿基地产,REL
17,新世界发展,REL
83,信和置业,REL
101,恒隆地产,REL
688,中国海外发展,REL
823,领展房产基金,REL
1109,华润置地,REL
1113,长实集团,REL
1997,九龙仓置业,REL
2007,碧桂园,REL
1,长和,CNI
19,太古股份公司Ａ,CNI
27,银河娱乐,CNI
66,港铁公司,CNI
151,中国旺旺,CNI
175,吉利汽车,CNI
267,中信股份,CNI
288,万洲国际,CNI
386,中国石油化工股份,CNI
669,创科实业,CNI
700,腾讯控股,CNI
762,中国联通,CNI
857,中国石油股份,CNI
883,中国海洋石油,CNI
941,中国移动,CNI
1044,恒安国际,CNI
1088,中国神华,CNI
1093,石药集团,CNI
1177,中国生物制药,CNI
1928,金沙中国有限公司,CNI
2018,瑞声科技,CNI
2313,申洲国际,CNI
2319,蒙牛乳业,CNI
2382,舜宇光学科技,CNI
