Symbol,Market,Full Symbol,Sector,YahooSymbol
AMZN,NASDAQ,NASDAQ:AMZN,CND,
BKNG,NASDAQ,NASDAQ:BKNG,CND,
DLTR,NASDAQ,NASDAQ:DLTR,CND,
EBAY,NASDAQ,NASDAQ:EBAY,CND,
EXPE,NASDAQ,NASDAQ:EXPE,CND,
GRMN,NASDAQ,NASDAQ:GRMN,CND,
HAS,NASDAQ,NASDAQ:HAS,CND,
LKQ,NASDAQ,NASDAQ:LKQ,CND,
MAR,NASDAQ,NASDAQ:MAR,CND,
NWL,NASDAQ,NASDAQ:NWL,CND,
ORLY,NASDAQ,NASDAQ:ORLY,CND,
ROST,NASDAQ,NASDAQ:ROST,CND,
SBUX,NASDAQ,NASDAQ:SBUX,CND,
TSCO,NASDAQ,NASDAQ:TSCO,CND,
ULTA,NASDAQ,NASDAQ:ULTA,CND,
WYNN,NASDAQ,NASDAQ:WYNN,CND,
AAP,XNYS,AAP,CND,
APTV,XNYS,APTV,CND,
AZO,XNYS,AZO,CND,
BBY,XNYS,BBY,CND,
BWA,XNYS,BWA,CND,
CCL,XNYS,CCL,CND,
CMG,XNYS,CMG,CND,
DG,XNYS,DG,CND,
DHI,XNYS,DHI,CND,
DPZ,XNYS,DPZ,CND,
DRI,XNYS,DRI,CND,
F,XNYS,F,CND,
GM,XNYS,GM,CND,
GPC,XNYS,GPC,CND,
GPS,XNYS,GPS,CND,
HBI,XNYS,HBI,CND,
HD,XNYS,HD,CND,
HLT,XNYS,HLT,CND,
HRB,XNYS,HRB,CND,
KMX,XNYS,KMX,CND,
KSS,XNYS,KSS,CND,
LB,XNYS,LB,CND,
LEG,XNYS,LEG,CND,
LEN,XNYS,LEN,CND,
LOW,XNYS,LOW,CND,
LVS,XNYS,LVS,CND,
MCD,XNYS,MCD,CND,
MGM,XNYS,MGM,CND,
MHK,XNYS,MHK,CND,
NCLH,XNYS,NCLH,CND,
NKE,XNYS,NKE,CND,
NVR,XNYS,NVR,CND,
PHM,XNYS,PHM,CND,
PVH,XNYS,PVH,CND,
RCL,XNYS,RCL,CND,
RL,XNYS,RL,CND,
TGT,XNYS,TGT,CND,
TIF,XNYS,TIF,CND,
TJX,XNYS,TJX,CND,
TPR,XNYS,TPR,CND,
UA,XNYS,UA,CND,
UAA,XNYS,UAA,CND,
VFC,XNYS,VFC,CND,
WHR,XNYS,WHR,CND,
YUM,XNYS,YUM,CND,
COST,NASDAQ,NASDAQ:COST,CNS,
KHC,NASDAQ,NASDAQ:KHC,CNS,
MDLZ,NASDAQ,NASDAQ:MDLZ,CNS,
MNST,NASDAQ,NASDAQ:MNST,CNS,
PEP,NASDAQ,NASDAQ:PEP,CNS,
WBA,NASDAQ,NASDAQ:WBA,CNS,
ADM,XNYS,ADM,CNS,
BF.B,XNYS,BF.B,CNS,BFB
CAG,XNYS,CAG,CNS,
CHD,XNYS,CHD,CNS,
CL,XNYS,CL,CNS,
CLX,XNYS,CLX,CNS,
COTY,XNYS,COTY,CNS,
CPB,XNYS,CPB,CNS,
EL,XNYS,EL,CNS,
GIS,XNYS,GIS,CNS,
HRL,XNYS,HRL,CNS,
HSY,XNYS,HSY,CNS,
K,XNYS,K,CNS,
KMB,XNYS,KMB,CNS,
KO,XNYS,KO,CNS,
KR,XNYS,KR,CNS,
LW,XNYS,LW,CNS,
MKC,XNYS,MKC,CNS,
MO,XNYS,MO,CNS,
PG,XNYS,PG,CNS,
PM,XNYS,PM,CNS,
SJM,XNYS,SJM,CNS,
STZ,XNYS,STZ,CNS,
SYY,XNYS,SYY,CNS,
TAP,XNYS,TAP,CNS,
TSN,XNYS,TSN,CNS,
WMT,XNYS,WMT,CNS,
ATVI,NASDAQ,NASDAQ:ATVI,COM,
CHTR,NASDAQ,NASDAQ:CHTR,COM,
CMCSA,NASDAQ,NASDAQ:CMCSA,COM,
DISCA,NASDAQ,NASDAQ:DISCA,COM,
DISCK,NASDAQ,NASDAQ:DISCK,COM,
DISH,NASDAQ,NASDAQ:DISH,COM,
EA,NASDAQ,NASDAQ:EA,COM,
FB,NASDAQ,NASDAQ:FB,COM,
FOX,NASDAQ,NASDAQ:FOX,COM,
FOXA,NASDAQ,NASDAQ:FOXA,COM,
GOOG,NASDAQ,NASDAQ:GOOG,COM,
GOOGL,NASDAQ,NASDAQ:GOOGL,COM,
NFLX,NASDAQ,NASDAQ:NFLX,COM,
NWS,NASDAQ,NASDAQ:NWS,COM,
NWSA,NASDAQ,NASDAQ:NWSA,COM,
TMUS,NASDAQ,NASDAQ:TMUS,COM,
TTWO,NASDAQ,NASDAQ:TTWO,COM,
VIAC,NASDAQ,NASDAQ:VIAC,COM,
CTL,XNYS,CTL,COM,
DIS,XNYS,DIS,COM,
IPG,XNYS,IPG,COM,
LYV,XNYS,LYV,COM,
OMC,XNYS,OMC,COM,
T,XNYS,T,COM,
TWTR,XNYS,TWTR,COM,
VZ,XNYS,VZ,COM,
FANG,NASDAQ,NASDAQ:FANG,ENE,
APA,XNYS,APA,ENE,
BKR,XNYS,BKR,ENE,
COG,XNYS,COG,ENE,
COP,XNYS,COP,ENE,
CVX,XNYS,CVX,ENE,
CXO,XNYS,CXO,ENE,
DVN,XNYS,DVN,ENE,
EOG,XNYS,EOG,ENE,
FTI,XNYS,FTI,ENE,
HAL,XNYS,HAL,ENE,
HES,XNYS,HES,ENE,
HFC,XNYS,HFC,ENE,
KMI,XNYS,KMI,ENE,
MPC,XNYS,MPC,ENE,
MRO,XNYS,MRO,ENE,
NBL,XNYS,NBL,ENE,
NOV,XNYS,NOV,ENE,
OKE,XNYS,OKE,ENE,
OXY,XNYS,OXY,ENE,
PSX,XNYS,PSX,ENE,
PXD,XNYS,PXD,ENE,
SLB,XNYS,SLB,ENE,
VLO,XNYS,VLO,ENE,
